time_ns,mean_xy_msd_nm2,sem_xy_msd_nm2
5.200000000000000000e+01,1.398237586021423340e+00,4.739893600344657898e-02
5.300000000000000000e+01,1.419548749923706055e+00,4.817875102162361145e-02
5.400000000000000000e+01,1.440357208251953125e+00,4.895921051502227783e-02
5.500000000000000000e+01,1.460813760757446289e+00,4.971579089760780334e-02
5.600000000000000000e+01,1.481342077255249023e+00,5.047857016324996948e-02
5.700000000000000000e+01,1.501734137535095215e+00,5.124371126294136047e-02
5.800000000000000000e+01,1.521723270416259766e+00,5.199949070811271667e-02
5.900000000000000000e+01,1.542054414749145508e+00,5.274808034300804138e-02
6.000000000000000000e+01,1.561481833457946777e+00,5.347018316388130188e-02
6.100000000000000000e+01,1.581104040145874023e+00,5.418290570378303528e-02
6.200000000000000000e+01,1.600719928741455078e+00,5.489888787269592285e-02
6.300000000000000000e+01,1.620880365371704102e+00,5.562293902039527893e-02
6.400000000000000000e+01,1.640633821487426758e+00,5.634697899222373962e-02
6.500000000000000000e+01,1.660028100013732910e+00,5.704589188098907471e-02
6.600000000000000000e+01,1.678988814353942871e+00,5.773028358817100525e-02
6.700000000000000000e+01,1.698090434074401855e+00,5.843415483832359314e-02
6.800000000000000000e+01,1.716784000396728516e+00,5.913075432181358337e-02
6.900000000000000000e+01,1.735987067222595215e+00,5.983233824372291565e-02
7.000000000000000000e+01,1.755057096481323242e+00,6.053445488214492798e-02
7.100000000000000000e+01,1.773635029792785645e+00,6.123297661542892456e-02
7.200000000000000000e+01,1.792158126831054688e+00,6.191077083349227905e-02
7.300000000000000000e+01,1.810789346694946289e+00,6.258156895637512207e-02
7.400000000000000000e+01,1.828841209411621094e+00,6.324459612369537354e-02
7.500000000000000000e+01,1.846919894218444824e+00,6.391368806362152100e-02
7.600000000000000000e+01,1.864912867546081543e+00,6.456992030143737793e-02
7.700000000000000000e+01,1.882276654243469238e+00,6.520688533782958984e-02
7.800000000000000000e+01,1.899618744850158691e+00,6.583955883979797363e-02
7.900000000000000000e+01,1.916480898857116699e+00,6.645815819501876831e-02
8.000000000000000000e+01,1.933741331100463867e+00,6.708785146474838257e-02
8.100000000000000000e+01,1.950207471847534180e+00,6.771020591259002686e-02
8.200000000000000000e+01,1.967296361923217773e+00,6.832579523324966431e-02
8.300000000000000000e+01,1.983935832977294922e+00,6.894064694643020630e-02
8.400000000000000000e+01,2.000552177429199219e+00,6.955126672983169556e-02
8.500000000000000000e+01,2.017251253128051758e+00,7.015533745288848877e-02
8.600000000000000000e+01,2.033262729644775391e+00,7.075066864490509033e-02
8.700000000000000000e+01,2.049626588821411133e+00,7.136496156454086304e-02
8.800000000000000000e+01,2.066762447357177734e+00,7.198811322450637817e-02
