group,bin,r_nm,mean_density_mg_ml,sd_density_mg_ml,fit_density_mg_ml,rho_dense_fit_mg_ml,rho_dilute_fit_mg_ml,deltaG_fit_kj_mol
$\text{Hel}_{50}$,38,11.386331968307493,30.084649567824247,2.1731161038509117,28.74039301430878,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,39,11.682080850601196,24.142119327584254,1.502551262355123,23.186966497445496,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,40,11.977829732894898,19.361934386483757,0.9609409175430265,18.68111165326212,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,41,12.273578615188597,15.518263753905119,0.5094664288764723,15.037223215884978,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,42,12.5693274974823,12.397322890781249,0.24972907083056697,12.098237176700138,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,43,12.865076379776,9.841572302895669,0.21645871801613104,9.732874036968383,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,44,13.160825262069702,7.793277270248477,0.30198162363416325,7.832462080084383,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,45,13.456574144363401,6.161845728696115,0.35541212989968224,6.3077258948356985,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,46,13.752323026657104,4.874370786883293,0.38651510337005673,5.08576357488306,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,47,14.048071908950806,3.870125753304239,0.3925549526541187,4.107326022897098,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,48,14.343820791244505,3.0879465603057343,0.3833790858122342,3.324441224859754,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,49,14.639569673538208,2.498741481009193,0.3695881208349045,2.6983838916008267,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,50,14.935318555831907,2.0366835688662857,0.3477188665521892,2.1979673912157978,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,51,15.23106743812561,1.6797258047326962,0.3445656741317038,1.798123671707117,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,52,15.52681632041931,1.3927523181628156,0.3342779449951344,1.4787331665331749,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,53,15.822565202713012,1.1669963886018808,0.31375743976613585,1.2236673102913755,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,54,16.118314085006713,0.9878008014443478,0.29723407508950894,1.0200092165661658,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,55,16.414062967300413,0.8466117501506618,0.2743268312427531,0.8574220121044505,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,56,16.709811849594114,0.734776660357677,0.25510357840061426,0.7276385265579393,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,57,17.00556073188782,0.6449680820001854,0.23674847073544886,0.6240500852724153,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,58,17.301309614181516,0.5683895061261696,0.2136727630006365,0.5413758333526744,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,59,17.59705849647522,0.5038893045757583,0.19408153579350151,0.47539724784246573,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,60,17.892807378768918,0.4515629984771139,0.18107672606703637,0.4227452591696874,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,61,18.188556261062622,0.40835950533571014,0.16941449416992496,0.3807297297121295,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,62,18.484305143356323,0.37124275761093894,0.15276929655325375,0.34720297152529156,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,63,18.780054025650024,0.3416285308578269,0.13965890252843674,0.32045057834466206,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,64,19.075802907943725,0.31943623574640495,0.13013624678890967,0.29910414993548784,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,65,19.371551790237426,0.29674308203098326,0.12010056215078606,0.2820715468475896,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,66,19.667300672531127,0.2804430428362478,0.11116779754335133,0.2684811723881353,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,67,19.963049554824828,0.26468766325014875,0.09938642566628601,0.25763747210964993,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,68,20.25879843711853,0.252919116867586,0.09074943227968123,0.24898539972548406,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,69,20.55454731941223,0.24236056264653427,0.08375186060154893,0.2420820474461607,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,70,20.85029620170593,0.23607224047544914,0.08128711907387402,0.23657399919397903,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,71,21.14604508399963,0.22936703966475672,0.07671448971222718,0.23217925412637896,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,72,21.441793966293336,0.2235813220800702,0.07296054322078041,0.22867279934035878,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,73,21.737542848587033,0.2178067121072207,0.07021358127086753,0.22587509584263898,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,74,22.033291730880737,0.21411307315636283,0.06955316396208283,0.22364289000245208,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,75,22.329040613174435,0.20983742100845082,0.06923145452567292,0.2218618811194233,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,76,22.62478949546814,0.20615894859731218,0.06802718615329363,0.22044087036221072,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,77,22.92053837776184,0.20023532383842677,0.06748643678752815,0.2193070919214506,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,78,23.21628726005554,0.19387282939239622,0.06462754708648415,0.2184024875891737,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{Hel}_{50}$,79,23.512036142349242,0.24520217214649245,0.08838458703641754,0.21768073417831602,623.2333789740901,0.21483183278798065,-20.548669918728187
$\text{IDP}_{50}$-Mem,0,0.15313681602478027,551.1094488735847,36.59765847694974,507.6871543704377,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,1,0.4594104480743407,546.8922602349404,42.91056466391766,507.40134540403307,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,2,0.7656840801239013,544.5025158568656,40.764866069672145,507.0395567742578,508.7586248925853,0.3630978090974735,-18.67297449750039
