group,r_nm,fit_density_mg_ml
$\text{IDP}_{50}$,15.731462925851703,0.8681502730090074
$\text{IDP}_{50}$,15.781563126252506,0.8350226767257141
$\text{IDP}_{50}$,15.831663326653308,0.8032661813057302
$\text{IDP}_{50}$,15.881763527054108,0.7728241954742998
$\text{IDP}_{50}$,15.93186372745491,0.7436424510157735
$\text{IDP}_{50}$,15.981963927855713,0.7156689084457639
$\text{IDP}_{50}$,16.032064128256515,0.6888536664283151
$\text{IDP}_{50}$,16.082164328657313,0.6631488747985372
$\text{IDP}_{50}$,16.132264529058116,0.6385086510509268
$\text{IDP}_{50}$,16.182364729458918,0.6148890001638847
$\text{IDP}_{50}$,16.23246492985972,0.5922477376299184
$\text{IDP}_{50}$,16.282565130260522,0.5705444155704527
$\text{IDP}_{50}$,16.332665330661325,0.5497402518143417
$\text{IDP}_{50}$,16.382765531062123,0.5297980618270799
$\text{IDP}_{50}$,16.432865731462925,0.5106821933780452
$\text{IDP}_{50}$,16.482965931863728,0.4923584638406737
$\text{IDP}_{50}$,16.53306613226453,0.4747941000222795
$\text{IDP}_{50}$,16.583166332665332,0.4579576804240446
$\text{IDP}_{50}$,16.633266533066134,0.4418190798355681
$\text{IDP}_{50}$,16.683366733466933,0.4263494161731387
$\text{IDP}_{50}$,16.733466933867735,0.4115209994722022
$\text{IDP}_{50}$,16.783567134268537,0.397307282948816
$\text{IDP}_{50}$,16.83366733466934,0.3836828160490313
$\text{IDP}_{50}$,16.88376753507014,0.3706231994057134
$\text{IDP}_{50}$,16.933867735470944,0.35810504162895995
$\text{IDP}_{50}$,16.983967935871743,0.3461059178544019
$\text{IDP}_{50}$,17.034068136272545,0.33460432998214173
$\text{IDP}_{50}$,17.084168336673347,0.32357966853601283
$\text{IDP}_{50}$,17.13426853707415,0.31301217608012166
$\text{IDP}_{50}$,17.18436873747495,0.302882912129121
$\text{IDP}_{50}$,17.234468937875754,0.2931737194927564
