group,r_nm,fit_density_mg_ml
$\text{IDP}_{50}$,3.056112224448898,516.5222007545627
$\text{IDP}_{50}$,3.1062124248496996,516.2052957550735
$\text{IDP}_{50}$,3.156312625250501,515.8750815136664
$\text{IDP}_{50}$,3.2064128256513027,515.5310174677832
$\text{IDP}_{50}$,3.2565130260521045,515.1725426981473
$\text{IDP}_{50}$,3.306613226452906,514.7990753021913
$\text{IDP}_{50}$,3.3567134268537075,514.4100117609498
$\text{IDP}_{50}$,3.4068136272545093,514.0047263007009
$\text{IDP}_{50}$,3.4569138276553106,513.5825702508091
$\text{IDP}_{50}$,3.5070140280561124,513.142871399398
$\text{IDP}_{50}$,3.5571142284569137,512.6849333486664
$\text{IDP}_{50}$,3.6072144288577155,512.2080348718689
$\text{IDP}_{50}$,3.6573146292585172,511.71142927420067
$\text{IDP}_{50}$,3.7074148296593186,511.19434376005387
$\text{IDP}_{50}$,3.7575150300601203,510.6559788093679
$\text{IDP}_{50}$,3.807615230460922,510.0955075660571
$\text{IDP}_{50}$,3.8577154308617234,509.51207524178164
$\text{IDP}_{50}$,3.907815631262525,508.9047985386255
$\text{IDP}_{50}$,3.957915831663327,508.2727650945603
$\text{IDP}_{50}$,4.008016032064129,507.61503295590535
$\text{IDP}_{50}$,4.05811623246493,506.930630081344
$\text{IDP}_{50}$,4.108216432865731,506.2185538824218
$\text{IDP}_{50}$,4.158316633266534,505.4777708058325
$\text{IDP}_{50}$,4.208416833667335,504.70721596319737
$\text{IDP}_{50}$,4.258517034068136,503.9057928144541
$\text{IDP}_{50}$,4.308617234468938,503.07237291139677
$\text{IDP}_{50}$,4.35871743486974,502.2057957083465
$\text{IDP}_{50}$,4.408817635270541,501.30486844737845
$\text{IDP}_{50}$,4.458917835671343,500.36836612598626
$\text{IDP}_{50}$,4.509018036072145,499.39503155552427
$\text{IDP}_{50}$,4.559118236472946,498.38357551922843
$\text{IDP}_{50}$,4.609218436873747,497.33267703907535
$\text{IDP}_{50}$,4.659318637274549,496.2409837611914
$\text{IDP}_{50}$,4.709418837675351,495.10711246996243
$\text{IDP}_{50}$,4.759519038076152,493.9296497414183
$\text{IDP}_{50}$,4.809619238476954,492.7071527468636
$\text{IDP}_{50}$,4.859719438877756,491.43815021809337
$\text{IDP}_{50}$,4.909819639278557,490.12114358586246
$\text{IDP}_{50}$,4.959919839679359,488.754608303553
$\text{IDP}_{50}$,5.01002004008016,487.33699536821166
$\text{IDP}_{50}$,5.060120240480962,485.8667330512799
$\text{IDP}_{50}$,5.110220440881764,484.342228851416
