group,bin,r_nm,mean_density_mg_ml,sd_density_mg_ml,curve_density_mg_ml
$\text{IDP}_{50}$-Mem,11,3.5221467685699457,508.49438147891254,10.590054010794342,494.7726964110389
$\text{IDP}_{50}$-Mem,12,3.828420400619507,501.3369431833141,8.907047826095633,491.099214863621
$\text{IDP}_{50}$-Mem,13,4.134694032669067,493.46995477345064,7.835023711560279,486.52197047793834
$\text{IDP}_{50}$-Mem,14,4.440967664718627,484.24845096408944,5.838038150180069,480.8430436998956
$\text{IDP}_{50}$-Mem,15,4.7472412967681885,473.13851087773924,3.74160350997688,473.8346756181437
$\text{IDP}_{50}$-Mem,16,5.053514928817749,459.8067579923298,2.026486670689295,465.2422329500055
$\text{IDP}_{50}$-Mem,17,5.35978856086731,443.8587870100494,0.8209327902370612,454.79205472528304
$\text{IDP}_{50}$-Mem,18,5.66606219291687,425.4122528294194,0.6282188002618481,442.2060872293115
$\text{IDP}_{50}$-Mem,19,5.9723358249664305,405.6398391133475,1.6792635498679622,427.22501013789383
$\text{IDP}_{50}$-Mem,20,6.278609457015991,383.72380543414573,2.7562254483273563,409.64059218195183
$\text{IDP}_{50}$-Mem,21,6.584883089065551,359.8967957684167,3.854397702182423,389.3359653193717
$\text{IDP}_{50}$-Mem,22,6.891156721115112,334.2401980496982,4.671480347054047,366.32931856944276
$\text{IDP}_{50}$-Mem,23,7.1974303531646715,307.3139579666583,5.132594009414386,340.81275587290816
$\text{IDP}_{50}$-Mem,24,7.503703985214233,279.98599740249875,5.143318042628126,313.1751745704632
$\text{IDP}_{50}$-Mem,25,7.809977617263795,252.96941766632744,4.9914792286639384,283.998058101213
$\text{IDP}_{50}$-Mem,26,8.116251249313354,226.4316565381844,4.660040684536717,254.01767373009875
$\text{IDP}_{50}$-Mem,27,8.422524881362914,200.655782475596,4.342479732175702,224.05603589115083
$\text{IDP}_{50}$-Mem,28,8.728798513412475,176.21983227877135,3.728461536653953,194.93311897339677
$\text{IDP}_{50}$-Mem,29,9.035072145462035,153.35270958497594,3.1708669204272395,167.37952754577893
$\text{IDP}_{50}$-Mem,30,9.341345777511597,132.39688315284855,2.5655328351764477,141.96866292764227
$\text{IDP}_{50}$-Mem,31,9.647619409561155,113.25813830005909,2.1665838483648447,119.08045363216317
$\text{IDP}_{50}$-Mem,32,9.953893041610717,96.06409103899738,2.0089543282702422,98.8985540236848
$\text{IDP}_{50}$-Mem,33,10.260166673660276,80.91326098897986,2.13872910445181,81.43419238400975
$\text{IDP}_{50}$-Mem,34,10.566440305709838,67.65126392585293,2.2984022635608685,66.56547008462596
$\text{IDP}_{50}$-Mem,35,10.8727139377594,56.19799682034675,2.2760283714115404,54.08105123241759
$\text{IDP}_{50}$-Mem,36,11.178987569808958,46.32865005480684,2.244093586988661,43.72015086162838
$\text{IDP}_{50}$-Mem,37,11.48526120185852,37.93208155049164,2.0805540835624408,35.20448519747657
$\text{IDP}_{50}$-Mem,38,11.791534833908079,30.90126927193815,1.8394281238719214,28.260990543593067
$\text{IDP}_{50}$-Mem,39,12.097808465957641,25.02644571877488,1.5597457694696777,22.63611369170104
$\text{IDP}_{50}$-Mem,40,12.404082098007203,20.17817785294905,1.256710506792365,18.103399456411296
$\text{IDP}_{50}$-Mem,41,12.710355730056762,16.17296514997803,1.0090661189570156,14.466278973079625
$\text{IDP}_{50}$-Mem,42,13.016629362106324,12.92502650896683,0.7602695076870392,11.557738064942612
$\text{IDP}_{50}$-Mem,43,13.322902994155886,10.295088585229587,0.561296597214389,9.238169343038749
$\text{IDP}_{50}$-Mem,44,13.629176626205444,8.144084149084195,0.3887142551734504,7.392330955211719
$\text{IDP}_{50}$-Mem,45,13.935450258255003,6.437285352562824,0.2586079166504109,5.9260154454240705
$\text{IDP}_{50}$-Mem,46,14.241723890304565,5.10241107045768,0.16237895678118827,4.762791968986306
$\text{IDP}_{50}$-Mem,47,14.547997522354127,4.057930032258188,0.09691938353173002,3.8410180608849203
$\text{IDP}_{50}$-Mem,48,14.854271154403685,3.23771022918469,0.05390363969652816,3.111208364541767
$\text{IDP}_{50}$-Mem,49,15.160544786453247,2.585298597609091,0.03035878256191204,2.5337813502551967
$\text{IDP}_{50}$-Mem,50,15.466818418502806,2.0668437365333943,0.03241766213760077,2.077167616395002
$\text{IDP}_{50}$-Mem,51,15.773092050552368,1.6702447758160581,0.04589092126470496,1.7162446422294977
$\text{IDP}_{50}$-Mem,52,16.079365682601928,1.3653333450094225,0.05416106078225266,1.431055616652202
$\text{IDP}_{50}$-Mem,53,16.38563931465149,1.125830627343867,0.06539890948446606,1.2057693517711243
$\text{IDP}_{50}$-Mem,54,16.69191294670105,0.9459731139306004,0.06349867330351826,1.027841192643308
$\text{IDP}_{50}$-Mem,55,16.99818657875061,0.8038076487153362,0.057883755787183654,0.8873393416039903
$\text{IDP}_{50}$-Mem,56,17.30446021080017,0.6952564857570867,0.05679137446041722,0.7764060069399648
$\text{IDP}_{50}$-Mem,57,17.610733842849733,0.6157803042409633,0.049852337929771104,0.6888276449188879
$\text{IDP}_{50}$-Mem,58,17.91700747489929,0.5502313964266493,0.04544791586712844,0.6196929855620397
$\text{IDP}_{50}$-Mem,59,18.223281106948853,0.5009192869137756,0.039972620193184046,0.5651213937736372
$\text{IDP}_{50}$-Mem,60,18.52955473899841,0.4665882068938574,0.03435870180374627,0.5220473995957491
$\text{IDP}_{50}$-Mem,61,18.835828371047974,0.43721273790793536,0.028795448607752606,0.4880499695286744
$\text{IDP}_{50}$-Mem,62,19.142102003097534,0.4156188789609754,0.025759913796537772,0.4612173447076202
$\text{IDP}_{50}$-Mem,63,19.448375635147094,0.39931973238367724,0.022316861314367543,0.4400401086973318
$\text{IDP}_{50}$-Mem,64,19.754649267196655,0.3884739149659981,0.020103161693113516,0.42332663384769376
$\text{IDP}_{50}$-Mem,65,20.060922899246215,0.3830567934702636,0.022493223596743772,0.4101362508301918
$\text{IDP}_{50}$-Mem,66,20.367196531295775,0.3801516107714516,0.025326905632755754,0.399726443827376
$\text{IDP}_{50}$-Mem,67,20.673470163345335,0.3820148203511243,0.03213375884933561,0.39151113865887055
$\text{IDP}_{50}$-Mem,68,20.979743795394896,0.38367621071876323,0.04085546790698248,0.3850277602494998
$\text{IDP}_{50}$-Mem,69,21.286017427444456,0.39004711974300266,0.05446097434276868,0.37991122000678956
$\text{IDP}_{50}$-Mem,70,21.592291059494016,0.39262141380986487,0.06753224860791454,0.37587337792373887
$\text{IDP}_{50}$-Mem,71,21.898564691543577,0.3971768106355114,0.08052700096338694,0.37268682880102233
$\text{IDP}_{50}$-Mem,72,22.20483832359314,0.400504292948933,0.09305765063839462,0.3701721031886791
