group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,time_ps,survival_mean,survival_std,t_1e_ps,t_01_ps,mean_lifetime_ps,contact_cutoff_nm,symmetric_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,19000.0,0.0010823114376799549,0.00015756578763431736,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,20000.0,0.0009049088268087581,5.151405218984062e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,21000.0,0.0008124574793303687,0.00014281762655625065,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,22000.0,0.0007206052940037059,0.00013046032723095354,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,23000.0,0.0006290748424861108,0.0001515912199655681,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,24000.0,0.0005613006954562487,0.00015478456301427004,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,25000.0,0.00040544655787571937,9.858414372187295e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,26000.0,0.00033578631345785947,0.00015491633152047316,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,27000.0,0.00026736869880986173,0.00013420040418375893,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,28000.0,0.00024582022551919436,0.00010468550504663798,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
