plain_group,group,replicate,threshold,fpt_us,source_path
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 3,20,0.0,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus3.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 3,25,0.011,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus3.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 3,30,0.063,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus3.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 3,35,0.115,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus3.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 3,40,0.167,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus3.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 3,45,0.219,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus3.txt
IDP50_membrane,$\mathrm{IDP}_{50}^{\mathrm{mem}}$,Run 3,50,nan,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_0_plus3.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 1,10,0.471,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 1,15,1.127,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 1,20,1.395,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 1,25,1.573,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 1,30,2.538,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 1,35,2.635,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 1,40,2.718,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 1,45,2.898,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700.txt
