# Time(ns) Kappa2 Rg(A) Size L_minor(A) L_mid(A) L_major(A)
# Generated from /data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc
# AvgKappa2=0.1295+-0.0340
10125.0000 0.1856 77.1613 48.0000 29.4789 37.6828 60.5381
10126.0000 0.1925 77.4004 48.0000 29.3302 37.5544 60.9936
10127.0000 0.1892 77.5209 48.0000 29.8126 37.4203 60.9953
10128.0000 0.1837 77.3282 48.0000 29.8028 37.6443 60.6164
10129.0000 0.1876 77.4524 48.0000 29.9128 37.3713 60.8892
10130.0000 0.1920 77.4636 48.0000 29.9541 37.0395 61.0855
10131.0000 0.1919 77.3959 48.0000 30.2194 36.7312 61.0551
10132.0000 0.1899 77.6551 48.0000 30.3282 36.9817 61.1790
10133.0000 0.1835 77.4494 48.0000 30.4610 37.1193 60.7676
10134.0000 0.1852 77.6232 48.0000 30.5878 37.0290 60.9804
10135.0000 0.1836 77.3712 48.0000 30.4010 37.1064 60.7057
10136.0000 0.1866 77.6044 48.0000 30.4303 37.0704 61.0100
10137.0000 0.1870 77.6097 48.0000 30.4361 37.0402 61.0322
10138.0000 0.1810 77.2757 48.0000 30.4973 37.1060 60.5359
10139.0000 0.1777 77.3252 48.0000 30.7056 37.1791 60.4488
10140.0000 0.1748 77.3036 48.0000 31.0037 37.0673 60.3376
10141.0000 0.1772 77.2444 48.0000 30.7996 37.0499 60.3771
10142.0000 0.1783 77.3476 48.0000 30.5394 37.3209 60.4744
10143.0000 0.1719 77.3146 48.0000 30.6523 37.6363 60.1789
10144.0000 0.1738 77.6052 48.0000 30.6721 37.7323 60.4819
10145.0000 0.1766 77.4322 48.0000 30.4041 37.6461 60.4493
10146.0000 0.1747 77.2973 48.0000 30.4432 37.6265 60.2689
10147.0000 0.1660 77.2640 48.0000 30.4190 38.2494 59.8448
10148.0000 0.1694 77.2529 48.0000 30.5842 37.8259 60.0152
10149.0000 0.1693 77.4017 48.0000 30.3602 38.1891 60.0905
10150.0000 0.1708 76.9886 48.0000 30.6367 37.4391 59.8912
10151.0000 0.1677 77.0157 48.0000 30.3699 37.9563 59.7362
10152.0000 0.1681 76.8335 48.0000 30.4285 37.7054 59.6305
10153.0000 0.1683 77.1825 48.0000 30.6457 37.7846 59.9191
10154.0000 0.1685 77.0290 48.0000 30.3899 37.8867 59.7872
10155.0000 0.1667 76.9275 48.0000 30.3554 37.9611 59.6267
10156.0000 0.1640 76.9350 48.0000 30.4068 38.1176 59.5102
10157.0000 0.1589 76.9127 48.0000 30.6927 38.1856 59.2907
10158.0000 0.1614 77.1576 48.0000 30.5527 38.3595 59.5682
10159.0000 0.1664 77.4559 48.0000 30.6310 38.1784 60.0297
10160.0000 0.1621 77.1037 48.0000 30.4244 38.3888 59.5452
10161.0000 0.1630 77.0290 48.0000 30.6094 38.0719 59.5573
10162.0000 0.1655 77.0427 48.0000 30.4849 38.0249 59.6687
10163.0000 0.1682 77.1546 48.0000 30.7372 37.6778 59.9036
10164.0000 0.1731 77.4507 48.0000 30.7736 37.5511 60.3449
10165.0000 0.1766 77.7019 48.0000 30.7915 37.5025 60.6879
10166.0000 0.1754 77.6953 48.0000 30.8337 37.5414 60.6340
10167.0000 0.1741 77.5682 48.0000 30.4436 37.9019 60.4439
10168.0000 0.1680 77.2746 48.0000 30.4385 38.0944 59.9474
10169.0000 0.1741 77.4021 48.0000 30.3915 37.8141 60.3119
10170.0000 0.1795 77.7079 48.0000 30.5104 37.5794 60.7900
10171.0000 0.1697 77.3621 48.0000 30.6431 37.8404 60.1165
10172.0000 0.1705 77.2667 48.0000 30.6443 37.6971 60.0833
10173.0000 0.1710 76.9682 48.0000 30.9212 37.1240 59.9149
10174.0000 0.1757 77.0197 48.0000 30.4569 37.2994 60.1097
10175.0000 0.1748 77.3612 48.0000 30.8509 37.2751 60.3618
10176.0000 0.1756 77.3592 48.0000 30.6413 37.4214 60.3754
10177.0000 0.1684 77.2130 48.0000 30.9734 37.4792 59.9817
10178.0000 0.1728 76.9478 48.0000 30.7303 37.1701 59.9582
10179.0000 0.1673 77.1005 48.0000 30.8218 37.6112 59.8323
10180.0000 0.1713 76.8821 48.0000 30.6894 37.2586 59.8399
10181.0000 0.1616 76.6741 48.0000 30.8895 37.5746 59.2698
10182.0000 0.1662 76.9127 48.0000 31.0701 37.2731 59.6734
10183.0000 0.1670 76.8112 48.0000 30.8716 37.3223 59.6150
10184.0000 0.1750 77.1621 48.0000 30.5430 37.3898 60.1924
10185.0000 0.1703 76.9616 48.0000 30.9347 37.1576 59.8786
10186.0000 0.1738 76.9280 48.0000 30.5162 37.2971 59.9634
10187.0000 0.1825 77.1212 48.0000 30.0625 37.2982 60.4382
10188.0000 0.1824 77.1697 48.0000 30.0505 37.3575 60.4693
10189.0000 0.1782 76.8231 48.0000 30.3749 37.0319 60.0649
10190.0000 0.1773 76.9025 48.0000 30.2223 37.3117 60.0703
10191.0000 0.1783 76.7046 48.0000 30.2702 37.0266 59.9695
10192.0000 0.1799 76.9499 48.0000 30.3142 37.0846 60.2251
10193.0000 0.1835 77.3133 48.0000 30.4253 37.0352 60.6633
10194.0000 0.1903 77.8900 48.0000 30.5406 36.9462 61.3930
10195.0000 0.1817 77.5503 48.0000 30.6925 37.1048 60.7886
10196.0000 0.1809 77.0355 48.0000 30.4772 36.9265 60.3493
10197.0000 0.1837 77.2390 48.0000 30.6640 36.7227 60.6385
10198.0000 0.1877 77.3736 48.0000 30.5527 36.6729 60.8959
10199.0000 0.1912 77.7890 48.0000 30.8359 36.5114 61.3774
10200.0000 0.1916 77.9104 48.0000 30.6424 36.7789 61.4685
10201.0000 0.1897 77.8953 48.0000 31.0289 36.5185 61.4107
10202.0000 0.1912 77.8250 48.0000 30.9552 36.4284 61.4124
10203.0000 0.1878 77.5799 48.0000 30.8812 36.5223 61.0828
10204.0000 0.1888 77.5376 48.0000 30.8157 36.4843 61.0850
10205.0000 0.1976 77.8244 48.0000 30.5527 36.3791 61.6420
10206.0000 0.1978 77.5826 48.0000 30.3532 36.3543 61.4501
10207.0000 0.1899 77.3745 48.0000 30.4852 36.5891 60.9811
10208.0000 0.1845 77.2973 48.0000 30.6394 36.7433 60.7127
10209.0000 0.1809 77.1693 48.0000 30.6765 36.8448 60.4691
10210.0000 0.1794 77.1042 48.0000 30.5029 37.0686 60.3369
10211.0000 0.1845 76.9405 48.0000 30.5341 36.5375 60.4361
10212.0000 0.1802 76.8065 48.0000 30.4801 36.7769 60.1471
10213.0000 0.1900 76.9577 48.0000 29.9865 36.7113 60.6266
10214.0000 0.1851 76.8760 48.0000 30.1839 36.7846 60.3800
10215.0000 0.1808 76.8076 48.0000 30.3570 36.8505 60.1657
10216.0000 0.1805 76.9882 48.0000 30.4603 36.9269 60.2972
10217.0000 0.1821 77.0002 48.0000 30.4666 36.8233 60.3727
10218.0000 0.1762 76.7014 48.0000 30.5192 36.9239 59.9025
10219.0000 0.1777 76.7071 48.0000 30.5250 36.8180 59.9720
10220.0000 0.1784 76.7642 48.0000 30.5291 36.8164 60.0439
10221.0000 0.1774 76.5883 48.0000 30.3607 36.8979 59.8543
10222.0000 0.1813 76.8023 48.0000 30.5449 36.6314 60.1975
10223.0000 0.1830 76.6836 48.0000 30.1838 36.7659 60.1463
10224.0000 0.1882 76.9068 48.0000 30.3285 36.4588 60.5442
10225.0000 0.1971 77.4281 48.0000 30.1159 36.5038 61.2831
10226.0000 0.1961 77.3050 48.0000 29.9660 36.6122 61.1363
10227.0000 0.1957 77.0735 48.0000 30.2425 36.1755 60.9676
10228.0000 0.1892 77.0196 48.0000 30.4630 36.3534 60.6833
10229.0000 0.1946 76.8628 48.0000 30.1495 36.1571 60.7583
10230.0000 0.1936 76.6360 48.0000 30.2636 35.9208 60.5548
10231.0000 0.1841 76.3890 48.0000 30.3316 36.2901 59.9859
10232.0000 0.1865 76.4180 48.0000 30.1355 36.3424 60.0899
10233.0000 0.1916 76.7947 48.0000 30.0528 36.3975 60.5763
10234.0000 0.1854 76.5833 48.0000 30.2930 36.4051 60.1831
10235.0000 0.1844 76.4763 48.0000 30.2072 36.4660 60.0531
10236.0000 0.1805 76.6534 48.0000 30.1418 36.9497 60.0162
10237.0000 0.1819 76.8013 48.0000 30.1517 36.9722 60.1861
10238.0000 0.1841 76.9137 48.0000 30.1868 36.8864 60.3645
10239.0000 0.1846 76.6822 48.0000 29.8940 36.9368 60.1846
10240.0000 0.1895 77.0251 48.0000 29.4240 37.3517 60.5966
10241.0000 0.1889 76.9895 48.0000 29.4553 37.3290 60.5501
10242.0000 0.1905 76.8108 48.0000 29.1636 37.3498 60.4514
10243.0000 0.1825 76.4903 48.0000 29.3707 37.4269 59.8945
10244.0000 0.1843 76.5683 48.0000 29.0812 37.6532 59.9935
10245.0000 0.1880 76.5363 48.0000 29.1264 37.3259 60.1351
10246.0000 0.1880 76.7079 48.0000 29.4266 37.1819 60.2967
10247.0000 0.1931 76.9899 48.0000 29.4810 37.0204 60.7273
10248.0000 0.1873 76.7287 48.0000 29.1235 37.5385 60.2493
10249.0000 0.1849 76.6742 48.0000 29.2756 37.5092 60.1243
10250.0000 0.1848 76.8376 48.0000 29.1800 37.7552 60.2253
10251.0000 0.1896 76.8766 48.0000 29.1736 37.4581 60.4632
10252.0000 0.1900 76.7851 48.0000 29.2747 37.2574 60.4221
10253.0000 0.1907 76.7769 48.0000 28.9658 37.4967 60.4125
10254.0000 0.1857 76.7711 48.0000 29.1683 37.6425 60.2167
10255.0000 0.1801 76.7017 48.0000 29.3533 37.7988 59.9399
10256.0000 0.1797 76.6978 48.0000 29.2115 37.9609 59.9017
10257.0000 0.1795 76.8226 48.0000 29.3214 37.9775 59.9974
10258.0000 0.1745 76.7808 48.0000 29.3371 38.2803 59.7432
10259.0000 0.1745 76.7973 48.0000 29.4638 38.1661 59.7750
10260.0000 0.1717 76.9407 48.0000 29.6965 38.2659 59.7804
10261.0000 0.1796 77.0763 48.0000 29.4489 38.0598 60.2077
10262.0000 0.1775 76.9284 48.0000 29.3865 38.1466 59.9937
10263.0000 0.1827 77.2144 48.0000 29.2867 38.1194 60.4256
10264.0000 0.1823 77.0751 48.0000 29.4827 37.8400 60.3281
10265.0000 0.1794 76.8925 48.0000 29.5543 37.8142 60.0757
10266.0000 0.1804 76.9324 48.0000 29.5251 37.8082 60.1448
10267.0000 0.1813 76.9768 48.0000 29.3587 37.9456 60.1965
10268.0000 0.1847 76.9754 48.0000 29.3359 37.7287 60.3420
10269.0000 0.1844 77.0920 48.0000 29.4057 37.7772 60.4266
10270.0000 0.1907 77.2288 48.0000 29.2438 37.6164 60.7790
10271.0000 0.1871 77.2815 48.0000 29.3589 37.7997 60.6767
10272.0000 0.1896 77.2789 48.0000 29.2439 37.7370 60.7680
10273.0000 0.1911 77.5528 48.0000 29.3011 37.8067 61.0454
10274.0000 0.1843 77.1676 48.0000 29.5017 37.7611 60.4863
10275.0000 0.1808 77.2213 48.0000 29.9780 37.5847 60.4305
10276.0000 0.1769 77.2386 48.0000 30.3073 37.5499 60.3098
10277.0000 0.1727 76.8038 48.0000 30.2105 37.5642 59.7920
10278.0000 0.1682 76.6686 48.0000 30.2782 37.7008 59.4974
10279.0000 0.1714 76.9259 48.0000 30.0956 37.8778 59.8091
10280.0000 0.1686 76.5412 48.0000 29.7336 38.1032 59.3516
10281.0000 0.1775 76.9224 48.0000 30.0867 37.4492 60.0783
10282.0000 0.1667 76.7994 48.0000 30.3582 37.8472 59.5325
10283.0000 0.1588 76.5981 48.0000 30.5509 38.0540 59.0407
10284.0000 0.1610 76.7576 48.0000 30.6966 37.8846 59.2807
10285.0000 0.1650 76.6120 48.0000 30.3635 37.7981 59.3190
