# Time(ns) Kappa2 Rg(A) Size L_minor(A) L_mid(A) L_major(A)
# Generated from /data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc
# AvgKappa2=0.0447+-0.0314
10120.0000 0.0147 71.9336 50.0000 36.1881 43.4080 44.5040
10121.0000 0.0173 72.0224 50.0000 35.7489 43.6614 44.7540
10122.0000 0.0171 72.0868 50.0000 35.9293 43.1507 45.2063
10123.0000 0.0190 72.2065 50.0000 35.5622 43.7125 45.1478
10124.0000 0.0178 72.3040 50.0000 35.8335 43.6166 45.1821
10125.0000 0.0202 72.3712 50.0000 35.5067 43.5742 45.5868
10126.0000 0.0192 72.0077 50.0000 35.4621 43.4759 45.1375
10127.0000 0.0212 72.2404 50.0000 35.3405 43.2970 45.7722
10128.0000 0.0219 72.2199 50.0000 35.6352 42.2936 46.4445
10129.0000 0.0210 72.4346 50.0000 35.6892 42.8234 46.2515
10130.0000 0.0219 72.4626 50.0000 35.3250 43.4937 45.9485
10131.0000 0.0219 72.3505 50.0000 35.4656 42.8780 46.2413
10132.0000 0.0203 72.4624 50.0000 36.0521 42.3174 46.4788
10133.0000 0.0217 72.1888 50.0000 35.6864 42.1986 46.4434
10134.0000 0.0170 71.8514 50.0000 36.5268 41.4356 45.9512
10135.0000 0.0195 71.9714 50.0000 36.5047 41.0134 46.5316
10136.0000 0.0214 71.9015 50.0000 36.2558 40.8941 46.7228
10137.0000 0.0184 71.8251 50.0000 36.5244 41.0458 46.2608
10138.0000 0.0175 71.8834 50.0000 36.5695 41.2709 46.1151
10139.0000 0.0162 71.7633 50.0000 36.6706 41.2849 45.8345
10140.0000 0.0185 71.8612 50.0000 36.5473 41.0278 46.3145
10141.0000 0.0198 71.7936 50.0000 36.3933 40.8808 46.4609
10142.0000 0.0179 71.5227 50.0000 36.2382 41.2121 45.8677
10143.0000 0.0187 71.6795 50.0000 36.1173 41.4495 45.9937
10144.0000 0.0163 71.3874 50.0000 36.2881 41.3631 45.4799
10145.0000 0.0160 71.3326 50.0000 36.1395 41.6695 45.2319
10146.0000 0.0180 71.4994 50.0000 35.9858 41.6197 45.6618
10147.0000 0.0168 71.4316 50.0000 35.9612 41.9345 45.2854
10148.0000 0.0184 71.3277 50.0000 35.5283 42.1894 45.2265
10149.0000 0.0208 71.5069 50.0000 35.5823 41.5898 46.0155
10150.0000 0.0211 71.7261 50.0000 35.6484 41.7274 46.1805
10151.0000 0.0180 71.4962 50.0000 36.0882 41.4282 45.7499
10152.0000 0.0196 71.3871 50.0000 35.8251 41.2991 45.9028
10153.0000 0.0168 71.7819 50.0000 36.1909 42.0260 45.5704
10154.0000 0.0181 72.0247 50.0000 35.7676 43.0398 45.3410
10155.0000 0.0198 72.0154 50.0000 35.4427 43.1798 45.4481
10156.0000 0.0208 72.3089 50.0000 35.3538 43.6107 45.5719
10157.0000 0.0174 72.4525 50.0000 36.0177 43.5436 45.3437
10158.0000 0.0177 72.2947 50.0000 35.8693 43.5539 45.1992
10159.0000 0.0148 72.2786 50.0000 36.5588 42.8232 45.3191
10160.0000 0.0183 72.3899 50.0000 36.0710 42.8149 45.8919
10161.0000 0.0139 72.2074 50.0000 36.6931 42.7917 45.1265
10162.0000 0.0137 72.3227 50.0000 36.7631 42.8970 45.1541
10163.0000 0.0127 72.1020 50.0000 37.0034 42.3031 45.1652
10164.0000 0.0105 72.0570 50.0000 37.2570 42.7052 44.5017
10165.0000 0.0120 71.9372 50.0000 36.9982 42.3526 44.8593
10166.0000 0.0142 71.9805 50.0000 36.7021 42.1770 45.3349
10167.0000 0.0146 72.2363 50.0000 36.5235 42.9469 45.1628
10168.0000 0.0119 72.0746 50.0000 36.8179 43.5048 44.1194
10169.0000 0.0104 71.9972 50.0000 37.0998 43.4927 43.7673
10170.0000 0.0125 72.0596 50.0000 36.6545 43.6960 44.0420
10171.0000 0.0158 72.1868 50.0000 36.0962 43.7956 44.6088
10172.0000 0.0125 71.9411 50.0000 36.6190 43.4475 44.1235
10173.0000 0.0131 71.7495 50.0000 36.4622 43.0006 44.3785
10174.0000 0.0135 72.0524 50.0000 36.5330 43.2245 44.5929
10175.0000 0.0105 71.6240 50.0000 36.9677 42.6434 44.1013
10176.0000 0.0114 71.8430 50.0000 37.0700 42.2583 44.7377
10177.0000 0.0073 71.5891 50.0000 37.8992 41.8353 44.0280
10178.0000 0.0083 71.6192 50.0000 38.0112 41.2209 44.5566
10179.0000 0.0068 71.5961 50.0000 38.3141 41.2541 44.2281
10180.0000 0.0079 71.5536 50.0000 37.9919 41.3307 44.3656
10181.0000 0.0078 71.6485 50.0000 37.9710 41.5424 44.3390
10182.0000 0.0069 71.4020 50.0000 37.9430 41.6490 43.8627
10183.0000 0.0055 71.3744 50.0000 38.2155 41.7782 43.4564
10184.0000 0.0043 71.1079 50.0000 38.3554 41.7344 42.9353
10185.0000 0.0050 71.3264 50.0000 38.2088 42.1948 42.9785
10186.0000 0.0057 71.4309 50.0000 38.1186 42.0598 43.3626
10187.0000 0.0071 71.6703 50.0000 37.8427 42.3811 43.6853
10188.0000 0.0088 72.0224 50.0000 37.6503 42.4804 44.3294
10189.0000 0.0064 71.8943 50.0000 38.0628 42.8902 43.3641
10190.0000 0.0059 71.7743 50.0000 38.1191 42.8613 43.1438
10191.0000 0.0072 71.5756 50.0000 37.7028 42.5812 43.4559
10192.0000 0.0096 71.6907 50.0000 37.1283 43.0219 43.7054
10193.0000 0.0109 71.7789 50.0000 36.8730 43.4188 43.6737
10194.0000 0.0093 71.6872 50.0000 37.2990 42.5000 44.0635
10195.0000 0.0107 71.6345 50.0000 36.8831 42.8612 43.9779
10196.0000 0.0080 71.2950 50.0000 37.3250 42.5558 43.3455
10197.0000 0.0071 71.4159 50.0000 37.5955 42.7194 43.1494
10198.0000 0.0087 71.5373 50.0000 37.3116 42.6398 43.6725
10199.0000 0.0085 71.5927 50.0000 37.4261 42.4454 43.8543
10200.0000 0.0095 71.8820 50.0000 37.2474 43.1524 43.7895
10201.0000 0.0087 71.9889 50.0000 37.6570 42.4818 44.2680
10202.0000 0.0068 71.8114 50.0000 38.0688 42.1983 43.8969
10203.0000 0.0076 71.7307 50.0000 37.7989 42.2108 43.9863
10204.0000 0.0107 72.0224 50.0000 37.5260 41.8508 45.0281
10205.0000 0.0127 72.3477 50.0000 37.6475 41.4824 45.7829
10206.0000 0.0109 72.2941 50.0000 37.8016 41.6802 45.3899
10207.0000 0.0118 72.3839 50.0000 37.4583 42.1803 45.3555
